,Ticker,Fiscal Year,Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
16095,TUSK,2022,2022-12-31,362086000.0,-278587000.0,83499000.0,-103825000.0,-39554000.0,-1046124105.7772971,-64271000.0,-20326000.0,29406000.0,-118490421.49102229,9080000.0,3908000.0,12988000.0,-13607000.0,-619000,118022468.97815126,-619000,-619000
16096,TUSK,2023,2023-12-31,309492000.0,-247840000.0,61652000.0,-82568000.0,-37458000.0,-1046124105.7772971,-45110000.0,-20916000.0,25819000.0,-118490421.49102229,4903000.0,4231000.0,9134000.0,-12297000.0,-3163000,118022468.97815126,-3163000,-3163000
16106,TW,2019,2019-12-31,775566000.0,-5028782503.752925,2678659026.7719755,-585747000.0,-34960000.0,-1046124105.7772971,-139330000.0,189819000.0,2373000.0,2373000.0,192192000.0,-9218000.0,182974000.0,-52302000.0,130672000,118022468.97815126,83769000,83769000
16107,TW,2020,2020-12-31,892659000.0,-5028782503.752925,2678659026.7719755,-629304000.0,-34822000.0,-1046124105.7772971,-153789000.0,263355000.0,-316000.0,-316000.0,263039000.0,11425000.0,274464000.0,-56074000.0,218390000,118022468.97815126,166296000,166296000
16108,TW,2021,2021-12-31,1076447000.0,-5028782503.752925,2678659026.7719755,-704874000.0,-32153000.0,-1046124105.7772971,-171308000.0,371573000.0,-1590000.0,-1590000.0,369983000.0,-113345135.4520958,369983000.0,-96875000.0,273108000,118022468.97815126,226828000,226828000
16109,TW,2022,2022-12-31,1188781000.0,-5028782503.752925,2678659026.7719755,-762555000.0,-46561000.0,-1046124105.7772971,-178879000.0,426226000.0,10907000.0,11907000.0,437133000.0,-113345135.4520958,437133000.0,-77520000.0,359613000,118022468.97815126,309338000,309338000
16110,TW,2023,2023-12-31,1338219000.0,-5028782503.752925,2678659026.7719755,-842467000.0,-51495000.0,-1046124105.7772971,-185350000.0,495752000.0,52228000.0,65350000.0,547980000.0,-113345135.4520958,547980000.0,-128477000.0,419503000,118022468.97815126,364866000,364866000
16113,TWI,2019,2019-12-31,1448666000.0,-1319662000.0,129004000.0,-157436000.0,-137697000.0,-9859000.0,-434363725.33045274,-28432000.0,-19612000.0,-32004000.0,-48044000.0,-113345135.4520958,-48044000.0,-3475000.0,-51519000,118022468.97815126,-48425000,-50353000
16114,TWI,2020,2020-12-31,1259313000.0,-1130194000.0,129119000.0,-149670000.0,-130942000.0,-9013000.0,-434363725.33045274,-20551000.0,-22780000.0,-30554000.0,-43331000.0,-14800000.0,-58131000.0,-6946000.0,-65077000,118022468.97815126,-60388000,-60388000
16115,TWI,2021,2021-12-31,1780215000.0,-1542673000.0,237542000.0,-152367000.0,-131772000.0,-10104000.0,-434363725.33045274,85175000.0,-18115000.0,-32221000.0,67060000.0,-16020000.0,51040000.0,-1149000.0,49891000,118022468.97815126,49586000,49586000
