Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;6319000000;-2912000000;3407000000;-2060000000;-1619000000;-441000000;;1347000000;13000000;-79000000;1360000000;;1360000000;-150000000;1210000000;;1210000000;1210000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2024-12-20;304000000;307000000;6848000000;-3126000000;3722000000;-2104000000;-1637000000;-467000000;;1618000000;-114000000;-75000000;1504000000;;1504000000;-250000000;1254000000;;1254000000;1254000000
A;45846;USD;2023;FY;2023-10-31;2023-12-20;2024-12-20;294000000;296000000;6833000000;-3368000000;3465000000;-2115000000;-1634000000;-481000000;;1350000000;-11000000;-44000000;1339000000;;1339000000;-99000000;1240000000;;1240000000;1240000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;1853320448;2115376392;284367000;-284462000;-95000;-1858519000;-689379000;-1169140000;;-1858614000;-132835000;-4036000;-1991449000;-426425000;-2417874000;;-2417874000;;-2321145000;-3281607000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;9456609000;-7907270000;1549339000;-2218676000;-1118819000;-1099857000;;-669337000;208133000;-66916000;-461204000;272327000;-188877000;22847000;-166030000;14373000;-151657000;-791985000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;10433000000;-8537000000;1896000000;-1020000000;-280000000;-27000000;-713000000;876000000;-283000000;-121000000;593000000;-1031000000;-438000000;-415000000;-853000000;;-1125000000;-1125000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;9286000000;-7969000000;1317000000;-886000000;-206000000;-27000000;-653000000;431000000;-154000000;-146000000;277000000;-104000000;173000000;-187000000;-14000000;;-170000000;-170000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;12152000000;-9153000000;2999000000;-922000000;-227000000;-31000000;-664000000;2077000000;250000000;-195000000;2327000000;-1128000000;1199000000;-629000000;570000000;;429000000;429000000
